"BHID";"FROM";"TO";"LENGTH";"CODE";"Minéralogie";"Minéralisation";"DESCRIPTION";"Poids(Kg) p";"Poids(Kg) g";"Poids Récupéré (Kg)";"Poids Théorique (Kg)";"Taux de Récupération (%)";"PROJECT"
GT-RC-28;30.0;31.0;1.0;GRE;;;Grès + epsilon Py;5.4;24.2;29.6;38.465;76.95;
GT-RC-03;22.0;23.0;1.0;GRE;;;Grès noir fracturé + elem Qtz;5.4;24.0;29.4;38.465;76.43;
GT-RC-21;45.0;46.0;1.0;GRE;;;Grès;5.4;24.0;29.4;38.465;76.43;
GT-RC-28;94.0;95.0;1.0;GRE;;;Grès quartzitiques à elements de Qtz et Ank;5.4;23.4;28.8;38.465;74.87;
GT-RC-21;23.0;24.0;1.0;PEL;;;Pelites noires + epsilon Py;5.4;23.1;28.5;38.465;74.09;
GT-RC-35;63.0;64.0;1.0;GRE;;;Grès;5.4;22.6;28.0;38.465;72.79;
GT-RC-35;82.0;83.0;1.0;GRE;;;Grès à épsilon quartz+ankérites;5.4;21.4;26.8;38.465;69.67;
GT-RC-05;52.0;53.0;1.0;ST;;;Structure à Ank + Qtz+ Py;5.4;18.7;24.1;38.465;62.65;
GT-RC-35;75.0;76.0;1.0;GRE;;;Grès;5.4;18.2;23.6;38.465;61.35;
GT-RC-10;30.0;31.0;1.0;GRE;;;Grès à ankérites+épsilon pyrite et chalcopyrite;5.4;16.7;22.1;38.465;57.45;
GT-RC-19;25.0;26.0;1.0;GRE;;;Grès quartzitique à ankerite;5.3;30.5;35.8;38.465;93.07;
GT-RC-28;119.0;120.0;1.0;PEL;;;Pélites Noires;5.3;30.3;35.6;38.465;92.55;
GT-RC-36;47.0;48.0;1.0;GRE;;;Grès quartzique avec des traces de pyrite;5.3;29.4;34.7;38.465;90.21;
GT-RC-36;73.0;74.0;1.0;GRE;;;Grès quartzique;5.3;29.3;34.6;38.465;89.95;
GT-RC-28;97.0;98.0;1.0;GRE;;;Grès Noires;5.3;29.1;34.4;38.465;89.43;
GT-RC-07;50.0;51.0;1.0;GRE;;;Grès à éléments d'Ank et Qtz;5.3;28.3;33.6;38.465;87.35;
GT-RC-07;59.0;60.0;1.0;PEL;;;Pélites Noires +Py;5.3;28.3;33.6;38.465;87.35;
GT-RC-19;63.0;64.0;1.0;GRE;ANK;;Grès fracturé à éléments d'ankérite;5.3;27.3;32.6;38.465;84.75;
GT-RC-19;80.0;81.0;1.0;GRE;;;Grès à éléments d'ankerite;5.3;27.3;32.6;38.465;84.75;
GT-RC-03;52.0;53.0;1.0;GP;;;Grésopélites + ? Ank et Py;5.3;27.2;32.5;38.465;84.49;
GT-RC-19;46.0;47.0;1.0;GRE;;;Grès;5.3;27.1;32.4;38.465;84.23;
GT-RC-36;64.0;65.0;1.0;GRE;;;Grès;5.3;27.0;32.3;38.465;83.97;
GT-RC-15;43.0;44.0;1.0;GRE;;;Grès fracturés à élément de quartz+ankérites;5.3;26.8;32.1;38.465;83.45;
GT-RC-13;53.0;54.0;1.0;PEL;;;Pélites grèseuses à épsilon ankérites+épsilon pyrite;5.3;26.7;32.0;38.465;83.19;
GT-RC-19;82.0;83.0;1.0;GRE;;;Grès à éléments d'ankerite;5.3;26.3;31.6;38.465;82.15;
GT-RC-05;41.0;42.0;1.0;GP;;;Grésopélites + traces Ank + Py faible;5.3;24.3;29.6;38.465;76.95;
GT-RC-03;45.0;46.0;1.0;GP;;;Grésopélites + epsilons de Py, Cpy, et Ank;5.3;23.2;28.5;38.465;74.09;
GT-RC-03;32.0;33.0;1.0;GRE;;;Grès + epsilon Py;5.3;23.0;28.3;38.465;73.57;
GT-RC-05;34.0;35.0;1.0;GRE;;;Grès grisâtre;5.3;20.7;26.0;38.465;67.59;
GT-RC-05;35.0;36.0;1.0;GRE;;;Grès grisâtre;5.3;20.3;25.6;38.465;66.55;
GT-RC-36;32.0;33.0;1.0;GRE;;;Grès;5.3;19.8;25.1;38.465;65.25;
GT-RC-03;7.0;8.0;1.0;PEL;;;Pélites altérées;5.3;19.3;24.6;38.465;63.95;
GT-RC-09;5.0;6.0;1.0;GRE;;;Grès Altérés;5.2;33.2;38.4;38.465;99.83;
GT-RC-28;111.0;112.0;1.0;PEL;;;Pélites noires à Ank + éléments de Qz + traces Cpy;5.2;32.4;37.6;38.465;97.75;
GT-RC-21;58.0;59.0;1.0;GRE;;;Grès;5.2;32.1;37.3;38.465;96.97;
GT-RC-30;31.0;32.0;1.0;GRE;;;Grès;5.2;31.3;36.5;38.465;94.89;
GT-RC-37;41.0;42.0;1.0;GRE;;;Grès quartzique;5.2;30.4;35.6;38.465;92.55;
GT-RC-01;28.0;29.0;1.0;GRE;;;Grès quartzitique;5.2;30.1;35.3;38.465;91.77;
GT-RC-05;10.0;11.0;1.0;PEL;;;Pélites altérées argileuses orangeâtres;5.2;30.1;35.3;38.465;91.77;
GT-RC-19;98.0;99.0;1.0;GRE;;;Grès fracturé à Ank + elements QZ +traces CPY;5.2;29.1;34.3;38.465;89.17;
GT-RC-36;79.0;80.0;1.0;GRE;;;Grès à épsilon quartz;5.2;28.4;33.6;38.465;87.35;
GT-RC-21;65.0;66.0;1.0;GRE;;;Grès;5.2;28.1;33.3;38.465;86.57;
GT-RC-37;71.0;72.0;1.0;GRE;;;Grès à élément d'ankérite+épsilon quartz+py+cpy;5.2;27.9;33.1;38.465;86.05;
GT-RC-19;73.0;74.0;1.0;GRE;;;Grès;5.2;27.5;32.7;38.465;85.01;
GT-RC-19;43.0;44.0;1.0;GRE;;;Grès;5.2;27.3;32.5;38.465;84.49;
GT-RC-35;35.0;36.0;1.0;PEL;;;Pélites noires+py;5.2;27.0;32.2;38.465;83.71;
GT-RC-10;33.0;34.0;1.0;ST;;;Structure à ankérite+épsilon quartz+py+cpy;5.2;26.7;31.9;38.465;82.93;
GT-RC-13;57.0;58.0;1.0;PEL;;;Pélites grèseuses à épsilon ankérites+épsilon pyrite;5.2;26.7;31.9;38.465;82.93;
GT-RC-30;82.0;83.0;1.0;GRE;;;Grès pélitiques à épsilon quartz;5.2;26.3;31.5;38.465;81.89;
GT-RC-10;36.0;37.0;1.0;GRE;;;Grès à épsilon ankérites+épsilon pyrite+épsilon ankérites;5.2;26.2;31.4;38.465;81.63;
GT-RC-28;95.0;96.0;1.0;PEL;;;Pélites Noires;5.2;25.8;31.0;38.465;80.59;
GT-RC-30;86.0;87.0;1.0;GRE;;;Grès pélitiques;5.2;25.7;30.9;38.465;80.33;
GT-RC-37;52.0;53.0;1.0;GRE;;;Grès quartzique;5.2;25.4;30.6;38.465;79.55;
GT-RC-35;93.0;94.0;1.0;GRE;;;Grèso-pélites+py;5.2;25.2;30.4;38.465;79.03;
GT-RC-37;44.0;45.0;1.0;GRE;;;Grès quartzique;5.2;25.2;30.4;38.465;79.03;
GT-ZE-TRW-FR80;0.0;2.6;2.6;ST;;;;;;;;;
GT-RC-37;51.0;52.0;1.0;GRE;;;Grès quartzique;5.2;24.6;29.8;38.465;77.47;
GT-RC-35;86.0;87.0;1.0;GRE;;;Grès;5.2;24.2;29.4;38.465;76.43;
GT-RC-03;36.0;37.0;1.0;GRE;;;Grès + éléments d'ankérite + epsilon Qz + Py;5.2;24.1;29.3;38.465;76.17;
GT-RC-30;104.0;105.0;1.0;GRE;;;Grès pélitiques à épsilon ankérites+épsilon quartz;5.2;23.1;28.3;38.465;73.57;
GT-RC-35;57.0;58.0;1.0;PEL;;;Pélites noires à épsilon pyrite;5.2;22.8;28.0;38.465;72.79;
GT-RC-35;73.0;74.0;1.0;GRE;;;Grès;5.2;18.0;23.2;38.465;60.31;
GT-RC-21;4.0;5.0;1.0;GRE;;;Grès altéré;5.2;5.0;10.2;38.465;26.52;
GT-RC-07;27.0;28.0;1.0;GRE;;;Grès;5.1;31.0;36.1;38.465;93.85;
GT-RC-03;59.0;60.0;1.0;PEL;;;Pélites + ? Py;5.1;30.4;35.5;38.465;92.29;
