"BHID";"FROM";"TO";"LENGTH";"CODE";"Minéralogie";"Minéralisation";"DESCRIPTION";"Poids(Kg) p";"Poids(Kg) g";"Poids Récupéré (Kg)";"Poids Théorique (Kg)";"Taux de Récupération (%)";"PROJECT"
BKCis29;25.0;27.0;;PEL;;;schistes alterés;;;;;;
BKCis29;27.0;30.0;;GRE;;;grès altérés;;;;;;
BKCis29;30.0;34.0;;PG;;;schistes grèseux;;;;;;
BKCis29;34.0;36.0;;GRE;;;grès schisteux;;;;;;
BKCis29;36.0;37.0;;GRE;;;grès bréchifiés à qtz blanc;;;;;;
BKF1-PIT5-R13;4.9;6.0;;PEL;;;;;;;;;
BKCis29;37.0;46.0;;GRE;;;grès oxydé à traces de malachite +rares traces de pbs;;;;;;
BKCis29;46.0;52.0;;PG;;;schistes grèseux;;;;;;
BKCis30;0.0;2.0;;RC;;;Recouvrement;;;;;;
BKCis30;2.0;11.0;;PEL;;;schistes alterés;;;;;;
BKCis30;11.0;24.0;;GP;;;grès altérés;;;;;;
BKCis30;24.0;35.0;;PG;;;schistes grèseux;;;;;;
BKCis30;35.0;46.0;;GRE;;;grès schisteux brèchifié à quartz+ba+rares traces pbs;;;;;;
BKCis30;46.0;50.0;;GRE;;;grès bréchifiés à qtz blanc+pu +oxyde de fer;;;;;;
BKCis30;50.0;52.0;;GRE;;;grès +qtz+sidèrose;;;;;;
BKCis30;52.0;53.0;;PEL;;;schistes noires;;;;;;
BKCis30;53.0;57.0;;PG;;;schistes grèseux;;;;;;
BKF3Cis1;0.0;1.0;;RAS;;;Avant trou;;;;;;
BKF3Cis1;1.0;2.0;;RC;;;Recouvrements;;;;;;
BKF3Cis1;2.0;26.0;;GRE;;;Grès Altères;;;;;;
BKF3Cis1;26.0;28.0;;PEL;;;Schistes noir;;;;;;
BKF3Cis1;28.0;39.0;;GRE;;;Grès altères;;;;;;
BKF3Cis1;39.0;40.0;;ST;;;Grès Altères +traces de barytine;;;;;;
BKF3Cis1;40.0;41.0;;ST;;;Grès Alter +barytine +£ galènes;;;;;;
BKF3Cis1;41.0;42.0;;ST;;;La sidérose;;;;;;
BKF3Cis1;42.0;43.0;;ST;;;La sidérose;;;;;;
BKF3Cis1;43.0;44.0;;ST;;;La sidérose + barytine + traces de  Pb et quartz rares traces de malachite;;;;;;
BKF3Cis1;44.0;45.0;;ST;;;La barytine + traces de sidérose £Pb +rares traces de malachite;;;;;;
BKF3Cis1;45.0;46.0;;ST;;;Schistes altères +traces de sidérose;;;;;;
BKF3Cis1;46.0;47.0;;PEL;;;Schistes noir;;;;;;
BKF3Cis1;47.0;61.0;;PEL;;;Schistes noir;;;;;;
BKF3Cis2;0.0;1.0;;RAS;;;Avant trou;;;;;;
BKF3Cis2;1.0;12.0;;GRE;;;Grès altères;;;;;;
BKF3Cis2;12.0;32.0;;GRE;;;Grès Altères;;;;;;
BKF3Cis2;32.0;47.0;;GP;;;Grès schisteux;;;;;;
BKF3Cis2;47.0;55.0;;PG;;;Schistes Gréseux micacé;;;;;;
BKF3Cis2;55.0;70.0;;PEL;;;Schistes noir micacé;;;;;;
BKF3Cis2;70.0;71.0;;ST;;;Schistes noir + traces de sidérose +quelque élément  de quartz;;;;;;
AK-50TRWF11;0;0.8;;ST;;;;;;;;;
BKF3Cis2;71.0;72.0;;ST;;;Sidérose +traces de barytine et malachites £ azurite et galènes;;;;;;
BKF3Cis2;72.0;73.0;;ST;;;Sidérose + traces de barytine rares traces de malachites;;;;;;
BKF3Cis2;73.0;74.0;;ST;;;Sidérose +traces de barytine;;;;;;
BKF3Cis2;74.0;75.0;;ST;;;Sidérose +traces de barytine;;;;;;
BKF3Cis2;75.0;76.0;;ST;;;Sidérose +traces de malachites £ chalcopyrites;;;;;;
BKF3Cis2;76.0;77.0;;ST;;;Grès +sidérose + traces de quartz et malachites;;;;;;
BKF3Cis2;77.0;78.0;;GRE;;;Grès altères;;;;;;
BKF3Cis2;78.0;79.0;;GP;;;Grès schisteux altères;;;;;;
BKF3Cis2;79.0;83.0;;GP;;;Grès schisteux altères;;;;;;
BKF3Cis3;0.0;1.0;;RAS;;;Avant trou;;;;;;
BKF3Cis3;1.0;15.0;;GRE;;;Grès altères;;;;;;
BKF3Cis3;15.0;28.0;;GP;;;Grès schisteux altères;;;;;;
BKF3Cis3;28.0;33.0;;GRE;;;Grès altères;;;;;;
BKF3Cis3;33.0;38.0;;GP;;;Grès schisteux;;;;;;
BKF3Cis3;38.0;41.0;;GP;;;Grès schisteux;;;;;;
BKF3Cis3;41.0;44.0;;PEL;;;Schistes noir;;;;;;
BKF3Cis3;44.0;48.0;;PEL;;;Schistes altères;;;;;;
BKF3Cis3;48.0;57.0;;PEL;;;Schistes noir;;;;;;
BKF3Cis3;57.0;64.0;;PG;;;Schistes gréseux altères;;;;;;
BKF3Cis3;64.0;67.0;;GP;;;Grès schisteux altères;;;;;;
BKF3Cis3;67.0;68.0;;ST;;;Grès schisteux altères + faible traces de malachites et azurite;;;;;;
BKF3Cis3;68.0;69.0;;ST;;;Grès schisteux altères +traces de barytine rares traces de malachites et quartz;;;;;;
BKF3Cis3;69.0;70.0;;ST;;;Sidérose + traces de barytine rares traces de malachites et azurite;;;;;;
BKF3Cis3;70.0;71.0;;ST;;;Sidérose +barytine + ¨£ malachites;;;;;;
BKF3Cis3;71.0;72.0;;ST;;;Grès schisteux altères + traces de barytine et sidérose;;;;;;
BKF3Cis3;72.0;73.0;;ST;;;Grès schisteux  altères +traces de barytine £ sidérose;;;;;;
BKF3Cis3;73.0;74.0;;ST;;;Schistes gréseux altères +traces de barytine;;;;;;
BKF3Cis3;74.0;75.0;;PEL;;;Schistes altères;;;;;;
BKF3Cis3;75.0;76.0;;PEL;;;Schistes altères;;;;;;
BKF3Cis3;76.0;79.0;;PEL;;;Schistes noir;;;;;;
BKF3Cis4;0.0;1.0;;RAS;;;Avant trou;;;;;;
BKF3Cis4;1.0;2.0;;RC;;;Recouvrement;;;;;;
BKF3Cis4;2.0;19.0;;GRE;;;Grès altères;;;;;;
BKF3Cis4;19.0;22.0;;GP;;;Grès schisteux altères;;;;;;
BKF3Cis4;22.0;30.0;;GRE;;;Grès;;;;;;
BKF3Cis4;30.0;44.0;;GP;;;Grès schisteux;;;;;;
BKF3Cis4;44.0;84.0;;PEL;;;Schisteux noires micacé;;;;;;
BKF3Cis4;84.0;95.0;;PEL;;;Schistes noires  micacé;;;;;;
BKF3Cis4;95.0;96.0;;ST;;;Schistes Altères +quelque éléments  de quartz +faible traces de malachite;;;;;;
BKF3Cis4;96.0;97.0;;ST;;;Schistes Altères +trace de barytine et sidérose+ faible traces de malachite;;;;;;
BKF3Cis4;97.0;98.0;;ST;;;Schistes altères +traces de barytine et sidérose +rares traces de malachite;;;;;;
BKF3Cis4;98.0;99.0;;ST;;;Schistes altères +sidérose +quelque éléments de quartz;;;;;;
BKF3Cis4;99.0;100.0;;ST;;;Schistes altères +traces de sidérose;;;;;;
BKF3Cis4;100.0;101.0;;ST;;;Sidérose £ galènes;;;;;;
BKF3Cis4;101.0;102.0;;ST;;;Sidérose £ galènes;;;;;;
BKF3Cis4;102.0;103.0;;ST;;;Grès altères +sidérose +traces de quartz;;;;;;
BKF3Cis4;103.0;104.0;;ST;;;Grès altères +traces de sidérose;;;;;;
BKF3Cis4;104.0;105.0;;ST;;;Grès altères +traces de sidérose;;;;;;
BKF3Cis4;105.0;106.0;;GRE;;;Grès altères;;;;;;
BKF3Cis5;0.0;1.0;;RAS;;;Avant trou;;;;;;
BKF3Cis5;1.0;6.0;;GRE;;;Grès altères;;;;;;
BKF3Cis5;6.0;7.0;;GP;;;Grès schisteux altères;;;;;;
BKF3Cis5;7.0;35.0;;GRE;;;Grès altères;;;;;;
BKF3Cis5;35.0;39.0;;GRE;;;Grès altères;;;;;;
BKF3Cis5;39.0;40.0;;ST;;;Grès altérés +sidérose +traces de quartz;;;;;;
BKF3Cis5;40.0;41.0;;ST;;;Sidérose;;;;;;
BKF3Cis5;41.0;42.0;;ST;;;Schistes altères +sidérose +traces de barytine et quartz;;;;;;
BKF3Cis5;42.0;43.0;;ST;;;Schistes altères +sidérose +traces de barytine et quartz;;;;;;
BKF3Cis5;43.0;44.0;;PEL;;;Schistes noires;;;;;;
BKF3Cis5;44.0;53.0;;PEL;;;Schistes noires  £ pyrite;;;;;;
BKF3Cis5;53.0;54.0;;PEL;;;Schistes noires +pyrite;;;;;;
BKF3Cis5;54.0;55.0;;PEL;;;Schistes noires £ pyrite;;;;;;
BKF3Cis5;55.0;57.0;;GRE;;;Grès quartzique;;;;;;
BKF3Cis5;57.0;60.0;;GRE;;;Grès quartzique;;;;;;
BKF2Cis1;0.0;1.0;;RAS;;;Avant trou;;;;;;
BKF2Cis1;1.0;15.0;;PEL;;;Schistes verdâtres altères;;;;;;
BKF2Cis1;15.0;46.0;;PEL;;;Schistes noires micacé;;;;;;
BKF2Cis1;46.0;47.0;;ST;;;Schistes noires micacé + traces  de ’ANK et barytine;;;;;;
BKF2Cis1;47.0;48.0;;ST;;;Schistes noires micacé £ ANK et quartz;;;;;;
BKF2Cis1;48.0;49.0;;PEL;;;Schistes noires;;;;;;
BKF2Cis1;49.0;50.0;;PEL;;;Schistes noires;;;;;;
BKF2Cis1;50.0;51.0;;PEL;;;Schistes noires +PY;;;;;;
BKF2Cis1;51.0;52.0;;ST;;;Schistes altères +sidérose +Pyrite  £ galènes;;;;;;
BKF2Cis1;52.0;53.0;;ST;;;Sidérose;;;;;;
BKF2Cis1;53.0;54.0;;ST;;;Grès altières £ pyrite;;;;;;
BKF2Cis1;54.0;55.0;;ST;;;Grès altères +quelque éléments de quartz;;;;;;
BKF2Cis1;55.0;56.0;;ST;;;Grès  altères +traces de quartz;;;;;;
BKF2Cis1;56.0;57.0;;GRE;;;Grès altères;;;;;;
BKF2Cis1;57.0;58.0;;GRE;;;Grès altères;;;;;;
BKF2Cis1;58.0;60.0;;GP;;;Grès schisteux;;;;;;
BKF2Cis1;60.0;61.0;;PEL;;;Schistes noires;;;;;;
BKF2Cis3;0.0;1.0;;RAS;;;Avant trou;;;;;;
BKF2Cis3;1.0;25.0;;PEL;;;Schiste verdâtre micacé  altères;;;;;;
BKF2Cis3;25.0;26.0;;ST;;;Sidérose +traces de quartz £ barytine rares traces de malachites;;;;;;
BKF2Cis3;26.0;27.0;;ST;;;Sidérose +barytine + £ galènes;;;;;;
BKF2Cis3;27.0;28.0;;ST;;;Schistes altères + éléments de quartz;;;;;;
BKF2Cis3;28.0;29.0;;ST;;;Sidérose + traces de quartz;;;;;;
BKF2Cis3;29.0;30.0;;ST;;;Sidérose + faible traces de malachite  £ quartz;;;;;;
BKF2Cis3;30.0;31.0;;ST;;;Sidérose  traces de quartz;;;;;;
BKF2Cis3;31.0;32.0;;ST;;;Sidérose;;;;;;
BKF2Cis3;32.0;33.0;;PEL;;;Schistes altères;;;;;;
BKF2Cis3;33.0;34.0;;ST;;;Schistes altères +sidérose;;;;;;
BKF2Cis3;34.0;35.0;;PEL;;;Schistes altères;;;;;;
BKF2Cis3;35.0;46.0;;PEL;;;Schistes altères;;;;;;
BKF2Cis3;46.0;47.0;;ST;;;Sidérose +traces de malachites;;;;;;
BKF2Cis3;47.0;48.0;;ST;;;Sidérose +traces de malachites £ barytine;;;;;;
BKF2Cis3;48.0;49.0;;ST;;;Sidérose + schiste altières;;;;;;
BKF2Cis3;49.0;50.0;;PEL;;;Schistes altères;;;;;;
BKF2Cis3;50.0;52.0;;PEL;;;Schistes altères  micacé;;;;;;
BKF2Cis3;52.0;56.0;;PEL;;;Schistes noires;;;;;;
BKF2Cis3;56.0;60.0;;GRE;;;Grès;;;;;;
BKF3E1;0.0;1.2;;ST;;;Quartz. barytine. à malachite.azurite. trace de cpy;;;;;;
BKF3E2;0.0;1.0;;ST;;;Quartz. barytine. à malachite.azurite. trace de cpy;;;;;;
BKF3E3;0.0;1.2;;ST;;;Quartz. barytine. à malachite.azurite. trace de cpy;;;;;;
BKF3E4;0.0;2.0;;ST;;;Quartz. barytine. à malachite.azurite. trace de cpy;;;;;;
BKF1-63R2;0.0;5.4;;ST;;;Schistes Altères +quelque éléments  de quartz +faible traces de malachite;;;;;;
BKF1-63R3;0.0;6.0;;ST;;;Schistes Altères +quelque éléments  de quartz +faible traces de malachite;;;;;;
BKF1-63R1;0.0;6.1;;ST;;;Schistes Altères +quelque éléments  de quartz +faible traces de malachite;;;;;;
BKZF1_RE1_80;0.0;0.4;;ST;;;;;;;;;
BKZF1_RE1_80;0.4;1.35;;ST;;;;;;;;;
BKZF1_RE1_80;1.35;2.75;;ST;;;;;;;;;
BKZF1_RE1_80;2.75;4.2;;ST;;;;;;;;;
BKZF1_RE1_80;4.2;5.1;;ST;;;;;;;;;
BKZF1_RE1_80;5.1;5.45;;ST;;;;;;;;;
BKZF1_R0_80;0.0;0.4;;ST;;;;;;;;;
BKZF1_R0_80;0.4;1.5;;ST;;;;;;;;;
BKZF1_R0_80;1.5;3.1;;ST;;;;;;;;;
BKZF1_R0_80;3.1;4.8;;ST;;;;;;;;;
BKZF1_R0_80;4.8;5.6;;ST;;;;;;;;;
BKZF1_R0_80;5.6;6.0;;ST;;;;;;;;;
BKZF1_R1W_80;0.0;0.4;;ST;;;;;;;;;
BKZF1_R1W_80;0.4;1.7;;ST;;;;;;;;;
BKZF1_R1W_80;1.7;2.7;;ST;;;;;;;;;
BKZF1_R1W_80;2.7;3.8;;ST;;;;;;;;;
BKZF1_R1W_80;3.8;4.8;;ST;;;;;;;;;
BKZF1_R1W_80;4.8;6.45;;ST;;;;;;;;;
BKE9;0.0;1.4;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE10;0.0;1.4;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE11;0.0;1.4;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE12;0.0;1.5;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE13;0.0;1.4;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE14;0.0;1.6;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE15;0.0;1.6;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE16;0.0;2.0;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE17;0.0;1.6;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE18;0.0;1.5;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE19;0.0;1.4;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE20;0.0;1.4;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE21;0.0;1.2;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKF1-PIT5-R6;0.0;1.0;;GER;;;;;;;;;
BKE22;0.0;1.3;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE23;0.0;1.8;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKF1-PIT5-R14;0.0;1.0;;ST;;;;;;;;;
BKE24;0.0;1.8;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE25;0.0;1.4;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE26;0.0;1.5;;QTZ;;;Quartz +siderose oxydé à malachites et plage de chalcosine;;;;;;
BKE51;0.0;1.6;;ANK;;;siderose oxydé +quartz à malachites;;;;;;
BKE52;0.0;1.7;;ANK;;;siderose oxydé +quartz à malachites;;;;;;
BKE53;0.0;15.0;;ANK;;;siderose oxydé +quartz à malachites;;;;;;
BKE54;0.0;1.4;;ANK;;;siderose oxydé +quartz à malachites;;;;;;
BKE55;0.0;1.4;;ANK;;;siderose oxydé +quartz à malachites;;;;;;
BKE56;0.0;1.2;;ANK;;;siderose oxydé +quartz à malachites;;;;;;
BF2-TR1-PW;0.0;9.1;;PEL;;;Pélites altérés;;;;;;
BF2-TR1-PW;9.1;10.1;;PEL;;;Pélites altérés;;;;;;
BF2-TR1-PW;10.1;10.5;;ST;SDT;;Structure à oxydes de fer;;;;;;
BF2-TR1-PW;10.5;11.5;;PEL;;;Pélites altérés;;;;;;
BF2-TR1-PW;11.5;16.5;;PEL;;;Pélites altérés;;;;;;
BF2-TR2-PW;0.0;13.7;;PEL;;;Pélites altérés;;;;;;
BF2-TR2-PW;13.7;14.7;;PEL;;;Pélites altérés;;;;;;
BF2-TR2-PW;14.7;15.1;;ST;SDT;;Structure à oxydes de fer;;;;;;
BF2-TR2-PW;15.1;15.7;;GRE;SDT;;Grès pélites + veines à oxydes;;;;;;
BF2-TR2-PW;15.7;16.2;;PEL;;;Pélites altérés à limonite;;;;;;
BF2-TR2-PW;16.2;17.2;;GRE;;;Grès pélites;;;;;;
BF2-TR2-PW;17.2;20.0;;GRE;;;Grès pélites;;;;;;
BF2-TR3-PW;0.0;2.7;;PEL;;;Pélites;;;;;;
BF2-TR3-PW;2.7;3.7;;GRE;;;Grès pélites;;;;;;
BF2-TR3-PW;3.7;4.1;;ST;SDT+QZ;;Structure à oxydes de fer + quartz;;;;;;
BF2-TR3-PW;4.1;4.6;;ST;SDT;;Structure à oxydes de fer;;;;;;
BF2-TR3-PW;4.6;5.0;;PEL;SDT;;Pélite altérés + veines d'oxydes;;;;;;
BF2-TR4-PE;0.0;2.6;;GRE;;;Grès;;;;;;
BF2-TR4-PE;2.6;3.6;;GRE;;;Grès;;;;;;
BF2-TR4-PE;3.6;4.3;;ST;SDT+QZ;Mal + Ba;Structure à oxydes de fer, quartz, malachite et barytine;;;;;;
BF2-TR4-PE;4.3;4.8;;ST;SDT;;Strucure à oxydes de fer avec intercalaire pélite;;;;;;
AK-50TRWF12;0;1;;ST;;;;;;;;;
BF2-TR4-PE;4.8;5.2;;GRE;;;Grès Pélites;;;;;;
BF2-TR5-PW;0.0;0.4;;GRE;;;Grès;;;;;;
BF2-TR5-PW;0.4;1.4;;GRE;;;Grès;;;;;;
BF2-TR5-PW;1.4;2.1;;ST;SDT+QZ;Mal + Ba;Structure à oxydes de fer, quartz, malachite barytine;;;;;;
BF2-TR5-PW;2.1;2.5;;ST;SDT;;Structure à oxydes;;;;;;
BF2-TR5-PW;2.5;2.8;;PEL;;;Pélite altérés;;;;;;
BF2-TR7-PW;0.0;11.6;;GRE;;;Grès altérés;;;;;;
BF2-TR7-PW;11.6;12.6;;GRE;;;Grès altérés;;;;;;
BF2-TR7-PW;12.6;13.3;;ST;QZ+SDT;Mal;Structure, brèche à éléments grès à veines de quartz + Oxydes de fer + malachite;;;;;;
BF2-TR7-PW;13.3;14.3;;GRE;QZ;Mal;Grès fracturé en stocwerk à veinules de quartz + malachite;;;;;;
BF2-TR7-PW;14.3;15.3;;GRE;;;Grès pélite broyé en stockwerk à remplissage en oxydes;;;;;;
BF2-TR7-PW;15.3;21.3;;PEL;;;Pélites altéré;;;;;;
BF2-TR8-PE;0.0;3.0;;GRE;;;Grès;;;;;;
BF2-TR8-PE;3.0;4.0;;GRE;QZ+SDT;;Grès fracturé à veinules de quartz + oxydes;;;;;;
BF2-TR8-PE;4.0;4.3;;ST;QZ+SDT+CAL;Mal;Structure à quartz + talc + oxydes +calcite + malachite;;;;;;
BF2-TR8-PE;4.3;4.6;;Vid;;;Vide zone exploitée;;;;;;
BF2-TR8-PE;4.6;5.2;;ST;QZ+SDT+CAL;;Structure à oxydes + quartz + talc + calcite;;;;;;
BF2-TR8-PE;5.2;5.7;;GRE;;;Grès oxydés;;;;;;
BF2-TR8-PE;5.7;6.7;;GRE;QZ+SDT;;Grès à veines de quartz + oxydes;;;;;;
BF2-TR8-PE;6.7;7.2;;GRE;QZ+SDT;;Grès à veines de quartz + oxydes;;;;;;
BF2-TR8-PE;7.2;11.2;;GRE;;;Grès;;;;;;
BF2-TR9-PE;0.0;1.5;;GRE;;;Grès;;;;;;
BF2-TR9-PE;1.5;2.5;;GRE;;;Grès à veines de quartz;;;;;;
BF2-TR9-PE;2.5;3.1;;ST;Qz;Mal + AZ;Structure à quartz + malachite + azurite;;;;;;
BF2-TR9-PE;3.1;3.5;;ST;QZ+SDT;MAL;Structure à oxydes  de fer + quartz + malachite;;;;;;
BF2-TR9-PE;3.5;4.5;;ST;QZ+SDT+CAL;MAL;Brèche à éléments des grès à veines de quartz + oxydes de fer + calcite + malachite;;;;;;
BF2-TR9-PE;4.5;5.2;;GRE;QZ;;Grès à veines de quartz;;;;;;
BF2-TR9-PE;5.2;6.0;;GRE;QZ;;Grès à veines de quartz;;;;;;
BF2-TR9-PE;6.0;9.0;;GRE;;;Grès pélite;;;;;;
BF2-TR10-PW;0.0;2.5;;GRE;;;Grès;;;;;;
BF2-TR10-PW;2.5;3.6;;GRE;QZ+SDT;;Grès fracturé à veinules de quartz + oxydes;;;;;;
BF2-TR10-PW;3.6;4.0;;ST;QZ+SDT+CAL;;Structure à oxydes de fer + quartz + calcite + talc;;;;;;
BF2-TR10-PW;4.0;4.3;;ST;QZ+SDT+CAL;;Structure à oxydes de fer, calcite, talc, quartz;;;;;;
BF2-TR10-PW;4.3;5.0;;ST;QZ+SDT+CAL;MAL;Structure à oxydes de fer+ quartz + malachite + calcite + talc;;;;;;
BF2-TR10-PW;5.0;6.0;;ST;QZ+SDT+CAL;;Structure à oxydes de fer + quartz + calcite + talc;;;;;;
BF2-TR10-PW;6.0;9.0;;GRE;;;Grès pélite fracturé oxydé;;;;;;
BF2-TR11-PW;0.0;1.5;;GRE;;;Grès;;;;;;
BF2-TR11-PW;1.5;2.5;;GRE;QZ+SDT;;Grès fracturé à veinules de quartz + oxydes;;;;;;
BF2-TR11-PW;2.5;3.3;;ST;QZ+SDT+CAL;;Structure à oxydes de fer + quartz + calcite;;;;;;
BF2-TR11-PW;3.3;4.1;;ST;QZ+SDT+CAL;;Structure à oxydes de fer+ quartz + calcite;;;;;;
BF2-TR11-PW;4.1;4.7;;ST;QZ+SDT+CAL;;Structure à oxydes de fer+ quartz + calcite;;;;;;
BF2-TR11-PW;4.7;5.3;;ST;QZ+SDT+CAL;;Structure à oxydes de fer+ quartz + calcite;;;;;;
BF2-TR11-PW;5.3;6.0;;ST;QZ+SDT+CAL;;Structure à oxydes de fer+ quartz + calcite;;;;;;
BF2-TR11-PW;6.0;9.0;;ST;;;Grès pélite oxydé;;;;;;
BF2-TR12-PW;0.0;2.8;;GRE;;;Grès;;;;;;
BF2-TR12-PW;2.8;3.6;;GRE;;;Grès fracturé;;;;;;
BF2-TR12-PW;3.6;4.0;;ST;QZ+SDT;;Structure à oxydes de fer + quartz;;;;;;
BF2-TR12-PW;4.0;4.35;;ST;QZ+SDT;MAL;Structure à oxydes de fer + quartz + malachite;;;;;;
BF2-TR12-PW;4.35;5.35;;GRE;QZ+SDT;;Grès fracturés à veinules de quartz + oxydes de fer;;;;;;
BKF1-PIT5-R6;1.0;1.7;;ST;;;;;;;;;
BF2-TR12-PW;5.35;6.35;;GRE;;;Grès oxydés;;;;;;
BF2-TR13-PW;0.0;1.7;;GRE;;;Grès fracturés;;;;;;
BKF1-PIT5-R14;2.0;3.0;;ST;;;;;;;;;
BF2-TR13-PW;1.7;2.4;;GRE;;;Grès fracturés à veinules de quartz + oxydes de fer;;;;;;
BF2-TR13-PW;2.4;2.8;;ST;QZ+SDT;MAL;Structure à oxyde de fer + quartz + malachite;;;;;;
BF2-TR13-PW;2.8;3.6;;ST;QZ+SDT;;Structure à oxydes de fer + quartz;;;;;;
BF2-TR13-PW;3.6;4.0;;ST;QZ+SDT;MAL;Structure à oxydes de fer + quartz + malachite;;;;;;
BF2-TR13-PW;4.0;5.0;;PEL;;;Pélite altérée oxydé fracturée;;;;;;
BF2-TR13-PW;5.0;5.8;;PEL;;;Pélite altérée oxydé fracturée;;;;;;
BF2-TR13-PW;5.8;6.7;;PEL;;;Pélite altérée;;;;;;
BF2-TR13-PW;6.7;7.2;;PEL;;;Pélite altérée;;;;;;
BF2-TR14-PW;0.0;1.3;;;;;;;;;;;
BF2-TR14-PW;1.3;2.3;;PEL;;;Pélite fracturé;;;;;;
BF2-TR14-PW;2.3;3.3;;PEL;QZ+SDT;;Pélite fracturé en stocwerk à remplissage quartz, oxydes;;;;;;
BF2-TR14-PW;3.3;3.6;;ST;QZ+SDT;;Structure en veine de 5 cm dans les pélites altérée;;;;;;
BF2-TR14-PW;3.6;4.1;;PEL;QZ+SDT;MAL;Pélite fracturée fracturé en stocwerk à remplissage oxydes de fer + quartz + malachite;;;;;;
BF2-TR14-PW;4.1;5.1;;PEL;QZ+SDT;MAL;Pélite fracturée fracturé en stocwerk à remplissage quartz + malachite + rare oxydes de fer;;;;;;
BF2-TR14-PW;5.1;6.1;;PEL;;;Pélite altérée;;;;;;
BF2-TR14-PW;6.1;8.5;;PEL;;;Pélite altérée;;;;;;
BF2-TR15-PW;0.0;1.0;;PEL;;;Pélite altérée;;;;;;
BF2-TR15-PW;1.0;2.0;;PEL;;;Pélite altérée;;;;;;
BF2-TR15-PW;2.0;3.0;;PEL;;;Pélite altérée fracturée à veins d'oxydes;;;;;;
BF2-TR15-PW;3.0;3.3;;ST;;;Structure à veine d'oxydes;;;;;;
BF2-TR15-PW;3.3;4.0;;PEL;;;Pélite altérée + veines d'oxydes;;;;;;
BF2-TR15-PW;4.0;5.0;;PEL;;;Pélite fracturée recoupé par des veines d'oxyde + quartz;;;;;;
BF2-TR15-PW;5.0;5.9;;PEL;;;Pélite fracturée;;;;;;
BF2-TR15-PW;5.9;7.0;;PEL;;;Pélite fracturée;;;;;;
BF2-TR15-PW;7.0;15.0;;PEL;;;Pélite;;;;;;
BF2-TR16-PW;0.0;7.0;;PEL;;;Pélite altérée fracturés;;;;;;
BF2-TR16-PW;7.0;8.0;;PEL;;;Pélite altérée fracturés;;;;;;
BF2-TR16-PW;8.0;8.8;;GRE;QZ+SDT;;Grès à veines de quartz + oxydes de fer;;;;;;
BF2-TR16-PW;8.8;9.6;;ST;QZ+SDT;;Structure à oxydes de fer + quartz;;;;;;
BF2-TR16-PW;9.6;10.5;;GRE;;;Grès fracturé;;;;;;
BF2-TR16-PW;10.5;19.6;;GRE;;;Grès fracturé;;;;;;
BF2-TR17-PW;0.0;7.4;;GRE;;;Grès pélites altérée;;;;;;
BF2-TR17-PW;7.4;8.4;;GRE;;;Grès pélites altérée;;;;;;
BF2-TR17-PW;8.4;9.1;;GRE;;;Grès pélites altérée oxydés;;;;;;
BF2-TR17-PW;9.1;9.65;;GRE;;;Grès pélites altérée;;;;;;
BF2-TR17-PW;9.65;10.05;;GRE;;;Grès pélites altérée;;;;;;
BF2-TR17-PW;10.05;10.65;;ST;;;Structure à oxydes;;;;;;
BF2-TR17-PW;10.65;11.45;;GRE;;;Grès pélites;;;;;;
BF2-TR17-PW;11.45;15.95;;PEL;;;pélites;;;;;;
BF2-TR18-PW;0.0;1.7;;PEL;;;Pélite altérée;;;;;;
BF2-TR18-PW;1.7;2.7;;PEL;;;Pélite altérée;;;;;;
BF2-TR18-PW;2.7;3.1;;ST;QZ+SDT;MAL;Structure à oxydes de fer + quartz +malachite;;;;;;
BF2-TR18-PW;3.1;4.0;;ST;QZ+SDT;;Structure à oxydes de fer + quartz;;;;;;
BF2-TR18-PW;4.0;4.3;;PEL;;;Pélite altérée;;;;;;
BF2-TR18-PW;4.3;5.2;;ST;QZ+SDT;;Structure à oxydes + quartz;;;;;;
BF2-TR18-PW;5.2;6.2;;GRE;;;Grès;;;;;;
